ds,yhat,yhat_lower,yhat_upper
2014-01-01,16956.090423500875,8517.668301351025,25709.865146117976
2014-02-01,3734.630261215032,-3953.6840552607855,12516.926370093628
2014-03-01,42557.73721387391,33620.93507301918,50890.072883472196
2014-04-01,26439.26073100237,17808.42441757222,34985.840783318556
2014-05-01,26643.082656941584,18694.28763687563,35309.91613554632
2014-06-01,27772.603239431402,19022.579454568153,36116.95113702588
2014-07-01,27547.146538773886,19046.053410182063,36365.43001388002
2014-08-01,31866.692650047597,23348.040626644008,40781.65942829518
2014-09-01,68461.9762905128,60026.773377951664,77309.22388746301
2014-10-01,36668.79724101424,27620.152380289914,45012.2877711484
2014-11-01,78435.29604284669,70036.65980756348,86948.90654383747
2014-12-01,69793.57812427185,61009.95830356869,78525.08803614405
2015-01-01,17863.044837159356,8779.591627212829,26480.01122545006
2015-02-01,13096.089587324794,4668.733838944389,22094.284913079962
2015-03-01,47137.56531008086,38323.081124556316,55637.94859770032
2015-04-01,32766.513540100015,24324.11834509466,41350.3163317137
2015-05-01,25302.103222298912,17144.163128558488,33908.58662721008
2015-06-01,30574.16350539997,21288.33246285315,39448.65351635974
2015-07-01,33070.89521783874,24763.601530360447,41764.505002312544
2015-08-01,40373.57280161553,31093.433671897794,48560.081014316915
2015-09-01,75927.25545887118,67730.47865090806,84408.92219472122
2015-10-01,34855.27330212368,26467.995441497864,43356.037529086316
2015-11-01,85261.29678579005,76695.41686502194,93330.69465355425
2015-12-01,73814.46914420149,65410.07298938361,82407.28232719228
2016-01-01,20141.19970487877,11647.889160366767,28913.129445848906
2016-02-01,24221.970244124153,15472.290108013047,32767.163458953626
2016-03-01,52813.73661635552,44290.829217483544,61645.319576957205
2016-04-01,33512.33565411696,25022.813697803842,42106.91934738269
2016-05-01,49671.232896632326,40708.45694223079,58078.05655893521
2016-06-01,43396.27323755416,34765.859130016644,51929.32564049129
2016-07-01,38165.99293549036,29179.920901297803,47151.28344849109
2016-08-01,36678.00657858656,28236.84544935473,45658.78202573453
2016-09-01,75248.89822686651,66237.65982517674,83456.01890537635
2016-10-01,62781.56326462924,54633.1217347723,71672.48411852864
2016-11-01,88722.67294667789,79641.95313380966,97166.97986750807
2016-12-01,86729.92288735823,78501.1987691272,95449.92641982216
2017-01-01,39983.39949061034,31120.878692779188,48819.45024899943
2017-02-01,18713.286698689248,10529.496103032974,27128.815350651188
2017-03-01,62532.5315109412,53558.45418653297,71250.1953805448
2017-04-01,45054.40918794643,35852.53599894517,53169.65845531411
2017-05-01,53409.57848045851,44168.92543125966,61771.64221091426
2017-06-01,50972.11547929929,41898.00917434031,60355.97509754016
2017-07-01,48443.1164659168,39815.88224133641,56814.374525933
2017-08-01,50114.615093563916,41593.279120809755,59015.85194955347
2017-09-01,88000.34150438556,79142.95733295457,96625.5560650844
2017-10-01,66019.92278807517,57499.39239097937,74109.13100850157
2017-11-01,100051.53456905506,91112.68200402956,108660.38942933177
2017-12-01,94971.21640137704,86083.70663242208,104132.06590771455
2017-12-31,32512.76178402709,23822.276860546433,41018.619804414026
2018-01-31,53334.16302581543,44555.60308268539,61566.09690650952
2018-02-28,72434.09441233869,63897.62006002143,81290.1293793561
2018-03-31,63522.695609277485,54556.824175416055,72257.40215331607
2018-04-30,33971.97129573026,24849.052853345576,42862.40355345877
2018-05-31,52957.19514066093,44743.03983617897,62189.165356958765
2018-06-30,64014.18291390172,55092.392398903474,72751.26446330878
2018-07-31,80092.83430406339,71377.71009342717,88332.61357104444
2018-08-31,111893.34688089488,103190.25892597067,120047.99464638092
2018-09-30,44199.805313984616,35602.18914904933,52830.272870825254
2018-10-31,119587.86456756157,110552.43167031306,127974.29046409264
2018-11-30,98169.61716699268,89727.48981996636,106712.26954502446
